,r/w,
,read only,hd:/

carmmy_lee,r/w,crystal_core:/,nudocuments:/,titan:/,dorcus26:/branches/RTSPClient_20131218,GitIsBetterDoNotUseThisRepo:/,federer:/,metadataplugin:/,muse:/,trevally:/,temphugedata:/
carmmy_lee,read only,innovare_packaging:/,dorcus26:/,golofa:/,davinci:/,hd:/,orion:/,innovare:/,nuuocorporateprotocol:/

wendy_tsai,r/w,crystal_core:/,nudocuments:/,titan:/,golofa:/,davinci:/,federer:/,metadataplugin:/,muse:/,orion:/,sirius:/,temphugedata:/,nuagent:/
wendy_tsai,read only,hd:/,nuuocorporateprotocol:/,trevally:/

hsien,r/w,nudocuments:/,dorcus26:/branches/RTSPClient_20131218,GitIsBetterDoNotUseThisRepo:/,federer:/,trevally:/,temphugedata:/
hsien,read only,innovare_packaging:/,dorcus26:/,golofa:/,orion:/,innovare:/

shaquille,r/w,innovare_packaging:/,crystal_core:/,nudocuments:/,titan:/,dorcus26:/branches/RTSPClient_20131218,golofa:/,GitIsBetterDoNotUseThisRepo:/,federer:/,metadataplugin:/,muse:/,odm:/,innovare:/,temphugedata:/,trevally:/,nuuocorporateprotocol:/,polaris:/
shaquille,read only,dorcus26:/,davinci:/,hd:/,orion:/,nuagent:/

aceyang,r/w,kernel:/,crystal_core:/,nudocuments:/,titan:/,davinci:/,metadataplugin:/,muse:/,orion:/,nuuocorporateprotocol:/,sirius:/,temphugedata:/,nuagent:/
aceyang,read only,golofa:/,hd:/,federer:/,trevally:/

jump,r/w,hephaestus:/,innovare_packaging:/,crystal_core:/,nudocuments:/,titan:/,dorcus26:/branches/RTSPClient_20131218,GitIsBetterDoNotUseThisRepo:/,federer:/,metadataplugin:/,muse:/,odm:/,innovare:/,temphugedata:/,trevally:/
jump,read only,dorcus26:/,golofa:/,davinci:/,hd:/,orion:/,nuuocorporateprotocol:/,nuagent:/

jimmy,r/w,crystal_core:/,nudocuments:/,titan:/,QA:/,metadataplugin:/,muse:/,temphugedata:/
